utt_0000 | U do‘kondan non sotib oldi. | u do‘kondan non sotib oldi.
utt_3583 | «Bundan tashqari, mahkumlarning huquqlarini himoya qilish maqsadida JIEMlarda jazo muddatini o‘tayotgan keksa yoshdagi hamda nogironligi bo‘lgan va sog‘lig‘ining holatiga ko‘ra, turli kasalliklar bilan davolanayotgan mahkumlar tarkibi Ichki ishlar vazirligi bilan hamkorlikda tahlil etildi. | bundan tashqari, mahkumlarning huquqlarini himoya qilish maqsadida jiemlarda jazo muddatini o‘tayotgan keksa yoshdagi hamda nogironligi bo‘lgan va sog‘lig‘ining holatiga ko‘ra, turli kasalliklar bilan davolanayotgan mahkumlar tarkibi ichki ishlar vazirligi bilan hamkorlikda tahlil etildi.
utt_3584 | Tahlillarga ko‘ra, qilmishiga chin ko‘ngildan pushaymon bo‘lgan va tuzalish yo‘liga o‘tgan 58 nafar 70 yoshdan oshgan erkak hamda 60 yoshdan oshgan ayol mahkumlar ro‘yxati Afv etish masalalari bo‘yicha komissiyaga ko‘rib chiqish uchun taqdim etildi», - dedi ombudsman Feruza Eshmatova deputatlar oldidagi hisobotida. | tahlillarga ko‘ra, qilmishiga chin ko‘ngildan pushaymon bo‘lgan va tuzalish yo‘liga o‘tgan ellik sakkiz nafar yetmish yoshdan oshgan erkak hamda oltmish yoshdan oshgan ayol mahkumlar ro‘yxati afv etish masalalari bo‘yicha komissiyaga ko‘rib chiqish uchun taqdim etildi, - dedi ombudsman feruza eshmatova deputatlar oldidagi hisobotida.
utt_3585 | Qiynoqqa solish, shafqatsiz va g‘ayriinsoniy muomalada bo‘lish holatlari bo‘yicha Ombudsmanga murojaatlar oxirgi 4 yilda 7 barobarga oshdi | qiynoqqa solish, shafqatsiz va g‘ayriinsoniy muomalada bo‘lish holatlari bo‘yicha ombudsmanga murojaatlar oxirgi toʻrt yilda yetti barobarga oshdi.
utt_3586 | Bugun, 25 sentabr kuni Axborot va ommaviy kommunikatsiyalar agentligida Transport vazirligi, Moliya vazirligi, Uy-joy kommunal xizmat ko‘rsatish vazirligi, Qurilish vazirligi vakillari ishtirokida matbuot anjumani o‘tkazildi. | bugun, yigirma besh sentabr kuni axborot va ommaviy kommunikatsiyalar agentligida transport vazirligi, moliya vazirligi, uy-joy kommunal xizmat ko‘rsatish vazirligi, qurilish vazirligi vakillari ishtirokida matbuot anjumani o‘tkazildi.
utt_3587 | Unda Prezident qarorida tasdiqlangan «Obod qishloq» dasturi ijrosini ta'minlashda mas'ul vazirliklarning hisoboti tinglandi. | unda prezident qarorida tasdiqlangan “obod qishloq” dasturi ijrosini taʻminlashda masʻul vazirliklarning hisoboti tinglandi.
utt_3588 | Moliya vazirligi hududlar bilan ishlash bo‘limi boshlig‘i Murod Davlatov «Obod qishloq» va «Obod mahalla» dasturiga ajratilgan mablag‘lar sarflanishi qay tartibda nazoratga olinishi haqida ma'lumot berdi. | moliya vazirligi hududlar bilan ishlash bo‘limi boshlig‘i murod davlatov “obod qishloq” va “obod mahalla” dasturiga ajratilgan mablag‘lar sarflanishi qay tartibda nazoratga olinishi haqida maʻlumot berdi.
utt_3589 | «Mablag‘ nazorati Davlat moliyaviy nazorat boshqarmasi tomonidan amalga oshiriladi. | mablag‘ nazorati davlat moliyaviy nazorat boshqarmasi tomonidan amalga oshiriladi.
utt_3590 | Har bir obekt uchun yuridik shaxs hisob raqami ochiladi va unga mablag‘ yo‘naltiriladi va uning maqsadli sarflanishi doimiy monitoring qilib boriladi. | har bir obekt uchun yuridik shaxs hisob raqami ochiladi va unga mablag‘ yo‘naltiriladi va uning maqsadli sarflanishi doimiy monitoring qilib boriladi.
utt_3591 | Qonunbuzilish holatlari yuzaga kelganda tezda chora ko‘riladi. | qonunbuzilish holatlari yuzaga kelganda tezda chora ko‘riladi.
utt_3592 | Masalan, Jizzax viloyati Quyitosh qo‘rg‘oniga ajratilgan mablag‘lar qay tartibda sarflanayotgani o‘rganilganda 68 mln. | masalan, jizzax viloyati quyitosh qo‘rg‘oniga ajratilgan mablag‘lar qay tartibda sarflanayotgani o‘rganilganda oltmish sakkiz million.
utt_3593 | so‘m kamomad aniqlandi va huquq-tartibot organlariga xabar qilindi», deya Murod Davlatovning so‘zlarini keltirmoqda Kun.uz muxbiri. | so‘m kamomad aniqlandi va huquq-tartibot organlariga xabar qilindi, deya murod davlatovning so‘zlarini keltirmoqda kun.uz muxbiri.
utt_3594 | Murodovning qo‘shimcha qilishicha, 2019 yil uchun «Obod qishloq» dasturi doirasida davlat va mahalliy budjetlar hisobidan jami 2 trln 233 mlrd so‘m mablag‘ ajratish rejalashtirilgan. | murodovning qo‘shimcha qilishicha, ikki ming oʻn toʻqqizinchi yil uchun “obod qishloq” dasturi doirasida davlat va mahalliy budjetlar hisobidan jami ikki trln ikki yuz oʻttiz uch milliard so‘m mablag‘ ajratish rejalashtirilgan.
utt_3595 | Shundan mahalliy budjetdan 704 mlrd, respublika investitsiya doirasida 1 trln 21 mlrd so‘m, shuningdek, qo‘shimcha mablag‘lar hisobidan 808 mlrd so‘m mablag‘ ajratish ko‘zda tutilgan. | shundan mahalliy budjetdan yetti yuz toʻrt milliard, respublika investitsiya doirasida bir trln yigirma bir milliard so‘m, shuningdek, qo‘shimcha mablag‘lar hisobidan sakkiz yuz sakkiz milliard so‘m mablag‘ ajratish ko‘zda tutilgan.
utt_3596 | Hozirgacha 2 trln 146 mlrd so‘m (mablag‘larning 81 foizi) mablag‘ berildi. | hozirgacha ikki trln bir yuz qirq olti milliard so‘m (mablag‘larning sakson bir foizi) mablag‘ berildi.
utt_3597 | Jumladan, yo‘llar qurilishiga 11 mlrd so‘m, ichimlik suvi va oqova suv inshootlarini rekonstruksiya qilish uchun 368 mlrd so‘m, irrigatsiya va melioratsiya obektlarini uchun 6 mlrd so‘m, obodonlashtirish ishlariga 24 mlrd so‘m mablag‘i yo‘naltirildi. | jumladan, yo‘llar qurilishiga oʻn bir milliard so‘m, ichimlik suvi va oqova suv inshootlarini rekonstruksiya qilish uchun uch yuz oltmish sakkiz milliard so‘m, irrigatsiya va melioratsiya obektlarini uchun olti milliard so‘m, obodonlashtirish ishlariga yigirma toʻrt milliard so‘m mablag‘i yo‘naltirildi.
utt_3598 | «Obod mahalla» dasturi bo‘yicha esa 653 mlrd so‘m berilishi belgilandi. | “obod mahalla” dasturi bo‘yicha esa olti yuz ellik uch milliard so‘m berilishi belgilandi.
utt_3599 | Parijda O‘zbekiston-Fransiya biznes-forumi bo‘lib o‘tdi. | parijda o‘zbekiston-fransiya biznes-forumi bo‘lib o‘tdi.
utt_3600 | Bu haqda O‘zA xabar bermoqda. | bu haqda o‘za xabar bermoqda.
utt_3601 | Kristof Fonten. | kristof fonten.
utt_3602 | Unga Savdo-sanoat palatasi raisi Adham Ikromov va “O‘zbekisto-Fransiya” ishbilarmonlar kengashi raisi Kristof Fonten raislik qildi. | unga savdo-sanoat palatasi raisi adham ikromov va “o‘zbekisto-fransiya” ishbilarmonlar kengashi raisi kristof fonten raislik qildi.
utt_3603 | Tadbirda Bosh vazir o‘rinbosari Suhrob Xolmurodov ikki tomonlama iqtisodiy hamkorlik masalalari haqida ma’ruza qildi. | tadbirda bosh vazir o‘rinbosari suhrob xolmurodov ikki tomonlama iqtisodiy hamkorlik masalalari haqida maʻruza qildi.
utt_3604 | - Forumda 60 dan ortiq fransuz kompaniyasi, O‘zbekistondan mutasaddi vazirlik va idoralar, yetakchi sanoat korxonalari vakillari ishtirok etdi. | - forumda oltmish dan ortiq fransuz kompaniyasi, o‘zbekistondan mutasaddi vazirlik va idoralar, yetakchi sanoat korxonalari vakillari ishtirok etdi.
utt_3605 | Biz ular bilan energetika va boshqa sohalar bo‘yicha fikr almashdik. | biz ular bilan energetika va boshqa sohalar bo‘yicha fikr almashdik.
utt_3606 | Natijada o‘zbekistonlik hamkorlar bilan o‘ndan ortiq kelishuv imzolandi. | natijada o‘zbekistonlik hamkorlar bilan o‘ndan ortiq kelishuv imzolandi.
utt_3607 | Shuningdek, qurilish, energetika va boshqa sohalarga investitsiya kiritishni istaydigan fransuz tashkilotlari bilan kelishuvlar bo‘ldi, - deya ta’kidladi Kristof Fonten. | shuningdek, qurilish, energetika va boshqa sohalarga investitsiya kiritishni istaydigan fransuz tashkilotlari bilan kelishuvlar bo‘ldi, - deya taʻkidladi kristof fonten.
utt_3608 | O‘zbekistonda aholi turmush tarzi farovonligini oshirish, iqtisodiy barqarorlikni saqlab turish, shuningdek, aholi, ayniqsa ayollar bandligini ta’minlash maqsadida BMT Taraqqiyot dasturi davlat tuzilmalarining ko‘magida qishloq aholisi o‘rtasida mahalliy va chet ellik mutaxassislar ishtirokidagi mahorat darslari, trening va seminarlarni tashkil etishda tashabbus ko‘rsatmoqda. | o‘zbekistonda aholi turmush tarzi farovonligini oshirish, iqtisodiy barqarorlikni saqlab turish, shuningdek, aholi, ayniqsa ayollar bandligini taʻminlash maqsadida bmt taraqqiyot dasturi davlat tuzilmalarining ko‘magida qishloq aholisi o‘rtasida mahalliy va chet ellik mutaxassislar ishtirokidagi mahorat darslari, trening va seminarlarni tashkil etishda tashabbus ko‘rsatmoqda.
utt_3609 | Bu haqda “UzDaily.uz” xabar beradi. | bu haqda “uzdaily.uz” xabar beradi.
utt_3610 | Ana shunday tadbirlardan biri 27-maydan 17-iyulga qadar Samarqand viloyatining Pastdarg‘om tumanida bo‘lib o‘tdi. | ana shunday tadbirlardan biri yigirma yettinchi maydan oʻn yettinchi iyulga qadar samarqand viloyatining pastdarg‘om tumanida bo‘lib o‘tdi.
utt_3611 | Unda tuman aholisi tabiiy ipakdan qo‘lda gilam to‘qish bo‘yicha ta’lim oldi. | unda tuman aholisi tabiiy ipakdan qo‘lda gilam to‘qish bo‘yicha taʻlim oldi.
utt_3612 | Marketing asoslarini o‘rgatish, amaliy mashg‘ulotlarni o‘tkazish “Samarqand-Buxoro ipak gilami” qo‘shma korxonasi mutaxassislari ko‘magida amalga oshirildi. | marketing asoslarini o‘rgatish, amaliy mashg‘ulotlarni o‘tkazish “samarqand-buxoro ipak gilami” qo‘shma korxonasi mutaxassislari ko‘magida amalga oshirildi.
utt_3613 | Tez kunlarda Elbek mahallasida ushbu tashkilot bazasida, fabrika filiali tariqasida tabiiy ipakdan qo‘lda gilam to‘qish bo‘yicha studiya ochish rejalashtirilmoqda. | tez kunlarda elbek mahallasida ushbu tashkilot bazasida, fabrika filiali tariqasida tabiiy ipakdan qo‘lda gilam to‘qish bo‘yicha studiya ochish rejalashtirilmoqda.
utt_3614 | Unda yuqoridagi kurs bitiruvchilari ish bilan ta’minlanadi. | unda yuqoridagi kurs bitiruvchilari ish bilan taʻminlanadi.
utt_3615 | Yagona interaktiv davlat xizmatlari portalida yangi xizmat paydo bo‘ldi. | yagona interaktiv davlat xizmatlari portalida yangi xizmat paydo bo‘ldi.
utt_3616 | Endi biometrik pasport uchun onlayn ariza berish mumkin, deb yozadi Anons.uz. | endi biometrik pasport uchun onlayn ariza berish mumkin, deb yozadi anons.uz.
utt_3617 | Hozircha bu loyiha Toshkent shahrining Olmazor tumanida yo‘lga qo‘yildi. | hozircha bu loyiha toshkent shahrining olmazor tumanida yo‘lga qo‘yildi.
utt_3618 | Olmazor tumanida doimiy propiskaga ega bo‘lgan shaxs Yagona portaldagi elektron ariza formasini to‘ldirishi kerak. | olmazor tumanida doimiy propiskaga ega bo‘lgan shaxs yagona portaldagi elektron ariza formasini to‘ldirishi kerak.
utt_3619 | Ariza Toshkent shahar Olmazor tumani Ichki ishlar bo‘limining Kirish, chiqish va fuqarolikni rasmiylashtirish bo‘limiga jo‘natilgandan so‘ng, u Ichki ishlar xodimlari tomonidan ko‘rib chiqiladi. | ariza toshkent shahar olmazor tumani ichki ishlar bo‘limining kirish, chiqish va fuqarolikni rasmiylashtirish bo‘limiga jo‘natilgandan so‘ng, u ichki ishlar xodimlari tomonidan ko‘rib chiqiladi.
utt_3620 | Agar hujjat to‘g‘ri to‘ldirilgan bo‘lsa, arizachiga avtomatik tarzda sana va vaqti ko‘rsatilgan sms-xabar jo‘natiladi. | agar hujjat to‘g‘ri to‘ldirilgan bo‘lsa, arizachiga avtomatik tarzda sana va vaqti ko‘rsatilgan sms-xabar jo‘natiladi.
utt_3621 | Unda biometrik ma’lumotlarni topshirish uchun Kirish, chiqish va fuqarolikni rasmiylashtirish bo‘limiga kelish zarurligi ma’lum qilinadi. | unda biometrik maʻlumotlarni topshirish uchun kirish, chiqish va fuqarolikni rasmiylashtirish bo‘limiga kelish zarurligi maʻlum qilinadi.
utt_3622 | Pasport tayyor bo‘lgani haqida arizachiga tegishli sms-xabar yuboriladi. | pasport tayyor bo‘lgani haqida arizachiga tegishli sms-xabar yuboriladi.
utt_3623 | Avval xabar berganimizdek, ushbu portalda yangi 50ga yaqin xizmat yo‘lga qo‘yilgan. | avval xabar berganimizdek, ushbu portalda yangi ellikga yaqin xizmat yo‘lga qo‘yilgan.
utt_3624 | Biometrik pasportga onlayn ariza berish xizmati Yagona portalda “Xizmat taklif qiling” bo’limida ovoz berish natijalariga ko‘ra amalga oshirildi. | biometrik pasportga onlayn ariza berish xizmati yagona portalda “xizmat taklif qiling” boʻlimida ovoz berish natijalariga ko‘ra amalga oshirildi.
utt_3625 | Namangan shahrida 10-20 aprel kunlari O‘zbekiston va Qirg‘iziston hukumatlari delegatsiyalarining o‘zbek-qirg‘iz davlat chegarasini delimitatsiyalash va demarkatsiyalash bo‘yicha ishchi guruhlarining navbatdagi uchrashuvlari bo‘lib o‘tadi. | namangan shahrida oʻn-yigirmainchi aprel kunlari o‘zbekiston va qirg‘iziston hukumatlari delegatsiyalarining o‘zbek-qirg‘iz davlat chegarasini delimitatsiyalash va demarkatsiyalash bo‘yicha ishchi guruhlarining navbatdagi uchrashuvlari bo‘lib o‘tadi.
utt_3626 | Ma'lum qilinishicha, 2016 yil avgustidan to shu kungacha 10 ta shunday uchrashuv bo‘lib o‘tgan. | maʻlum qilinishicha, ikki ming oʻn oltinchi yil avgustidan to shu kungacha oʻnta shunday uchrashuv bo‘lib o‘tgan.
utt_3627 | O‘zbekiston-Qirg‘iziston chegarasining umumiy uzunligi 1 ming 378 kilometrni tashkil qiladi. | o‘zbekiston-qirg‘iziston chegarasining umumiy uzunligi bir ming uch yuz yetmish sakkiz kilometrni tashkil qiladi.
utt_3628 | Shu bilan birga 320 km masofada chegara qayerdan o‘tishi aniqlashtirib olinmagan. | shu bilan birga uch yuz yigirma km masofada chegara qayerdan o‘tishi aniqlashtirib olinmagan.
utt_3629 | Ta’lim jarayoniga raqamli texnologiyalarni joriy etish, o‘zaro manfaatli hamkorlikni yo‘lga qo‘yish, mamlakatimizning iqtidorli yoshlarini rivojlantirish maqsadida 2022 yil 28 fevral kuni, UZCARD va Toshkent shahridagi Turin politexnika universiteti o‘rtasida hamkorlik to‘g‘risidagi memorandum imzolandi. | taʻlim jarayoniga raqamli texnologiyalarni joriy etish, o‘zaro manfaatli hamkorlikni yo‘lga qo‘yish, mamlakatimizning iqtidorli yoshlarini rivojlantirish maqsadida ikki ming yigirma ikkinchi yil yigirma sakkizinchi fevral kuni, uzcard va toshkent shahridagi turin politexnika universiteti o‘rtasida hamkorlik to‘g‘risidagi memorandum imzolandi.
utt_3630 | Memorandumning mavzusi zamonaviy axborot-moliya texnologiyalar sohasida hamkorlikni rivojlantirish, shuningdek, O‘zbekiston Respublikasida raqamli jamiyatini shakllantirish va rivojlantirish uchun ustuvor ahamiyatga ega bo‘lgan ta’lim faoliyati, ish va ilmiy tadqiqotlar sohasidagi loyihaviy yechimlar bo‘ldi. | memorandumning mavzusi zamonaviy axborot-moliya texnologiyalar sohasida hamkorlikni rivojlantirish, shuningdek, o‘zbekiston respublikasida raqamli jamiyatini shakllantirish va rivojlantirish uchun ustuvor ahamiyatga ega bo‘lgan taʻlim faoliyati, ish va ilmiy tadqiqotlar sohasidagi loyihaviy yechimlar bo‘ldi.
utt_3631 | Bundan tashqari, Memorandum doirasida axborot-kommunikatsiya texnologiyalari sohasida talaba va xodimlarning salohiyatini oshirish, hamkorlikning tegishli yo‘nalishlari bo‘yicha qo‘shma tadbirlar, ma’ruzalar va mahorat darslarni tashkil etish va talabalarni amaliyot o‘tash uchun jalb qilish, amaliy ko‘nikmalarni rivojlantirish, axborot va moliyaviy texnologiyalar sohasida ishlashga o‘rgatishga qaratilgan qo‘shma loyihalar amalga oshiriladi. | bundan tashqari, memorandum doirasida axborot-kommunikatsiya texnologiyalari sohasida talaba va xodimlarning salohiyatini oshirish, hamkorlikning tegishli yo‘nalishlari bo‘yicha qo‘shma tadbirlar, maʻruzalar va mahorat darslarni tashkil etish va talabalarni amaliyot o‘tash uchun jalb qilish, amaliy ko‘nikmalarni rivojlantirish, axborot va moliyaviy texnologiyalar sohasida ishlashga o‘rgatishga qaratilgan qo‘shma loyihalar amalga oshiriladi.
utt_3632 | ikki ming yigirma birinchi 5847 | ikki ming yigirma birinchi besh ming sakkiz yuz qirq yetti.
utt_3633 | Bugungi kunda yangi talaba kartalari, universitet talabalariga ulardan nafaqat transport uchun to‘lovni amalga oshirishda, balki universitetning ichki funksiyalarida - binoga kirishda, hudud ichida, shuningdek, kutubxonada kitoblarni qabul qilishda ham foydalanish imkonini beradi. | bugungi kunda yangi talaba kartalari, universitet talabalariga ulardan nafaqat transport uchun to‘lovni amalga oshirishda, balki universitetning ichki funksiyalarida - binoga kirishda, hudud ichida, shuningdek, kutubxonada kitoblarni qabul qilishda ham foydalanish imkonini beradi.
utt_3634 | Toshkentdagi Turin politexnika universiteti universal talaba kartasini joriy etgan birinchi universitet bo‘ldi - bugungi kunda innovatsion raqamli texnologiyalarning qulay mahsuloti bo‘lgan ijtimoiy vosita, universitet ma’muriyatiga talabalar xavfsizligini ta’minlash va davomatning avtomatlashtirilgan tizimini yaratish imkonini berdi. | toshkentdagi turin politexnika universiteti universal talaba kartasini joriy etgan birinchi universitet bo‘ldi - bugungi kunda innovatsion raqamli texnologiyalarning qulay mahsuloti bo‘lgan ijtimoiy vosita, universitet maʻmuriyatiga talabalar xavfsizligini taʻminlash va davomatning avtomatlashtirilgan tizimini yaratish imkonini berdi.
utt_3635 | Shuni ta’kidlash kerakki, bu universal talaba kartasini ishlab chiqishdagi birinchi qadamdir. | shuni taʻkidlash kerakki, bu universal talaba kartasini ishlab chiqishdagi birinchi qadamdir.
utt_3636 | Yaqin kelajakda talabalar kundalik vazifalarni oson va xavfsiz amalga oshirishlari uchun ushbu talaba kartasini o‘zgartirish va uning funksionalligini to‘liq bank kartasiga aylantirish vazifasi hal qilinadi: xaridlarni amalga oshirish, o‘z mablag‘larini boshqarish, stajirovka yoki o‘z-o‘zini ish bilan ta’minlash orqali birinchi daromadni olishdir. | yaqin kelajakda talabalar kundalik vazifalarni oson va xavfsiz amalga oshirishlari uchun ushbu talaba kartasini o‘zgartirish va uning funksionalligini to‘liq bank kartasiga aylantirish vazifasi hal qilinadi: xaridlarni amalga oshirish, o‘z mablag‘larini boshqarish, stajirovka yoki o‘z-o‘zini ish bilan taʻminlash orqali birinchi daromadni olishdir.
utt_3637 | Bundan tashqari, ushbu loyihaning Turin politexnika universitetida muvaffaqiyatli sinovdan o‘tkazilganligini hisobga olib, ushbu loyihani kengaytirish va mamlakatning barcha universitetlarida “aqlli bank kartasi”ni joriy etish imkoniyatlari ko‘rib chiqilmoqda. | bundan tashqari, ushbu loyihaning turin politexnika universitetida muvaffaqiyatli sinovdan o‘tkazilganligini hisobga olib, ushbu loyihani kengaytirish va mamlakatning barcha universitetlarida “aqlli bank kartasi”ni joriy etish imkoniyatlari ko‘rib chiqilmoqda.
utt_3638 | UZCARD va Toshkentdagi Turin politexnika universiteti mamlakat oliy o‘quv yurtlarini yangi mahsulotga qo‘shilishga, o‘quv jarayonini boshqarishni optimallashtirishga, hamda o‘z talabalarining ta’lim sifati va hayotini salohiyatli ravishda oshirishga taklif qiladi! | uzcard va toshkentdagi turin politexnika universiteti mamlakat oliy o‘quv yurtlarini yangi mahsulotga qo‘shilishga, o‘quv jarayonini boshqarishni optimallashtirishga, hamda o‘z talabalarining taʻlim sifati va hayotini salohiyatli ravishda oshirishga taklif qiladi!
utt_3639 | Ma’lumot uchun: 2021 yil davomida, Toshkent shahrida jamoat transportida to‘lovlarni amalga oshirishda 80 mingdan ortiq talaba kartalari rasmiylashtirildi. | maʻlumot uchun: ikki ming yigirma birinchi yil davomida, toshkent shahrida jamoat transportida to‘lovlarni amalga oshirishda sakson mingdan ortiq talaba kartalari rasmiylashtirildi.
utt_3640 | Ular bo‘yicha o‘rtacha oylik to‘lovlar soni 1,6 million tranzaksiyani tashkil etdi. | ular bo‘yicha o‘rtacha oylik to‘lovlar soni bir butun oʻndan olti million tranzaksiyani tashkil etdi.
utt_3641 | Ushbu kartalar orqali amalga oshirilgan to‘lovlarning umumiy soni esa 19,7 mln tranzaksiyani tashkil etdi. | ushbu kartalar orqali amalga oshirilgan to‘lovlarning umumiy soni esa oʻn toʻqqiz butun oʻndan yetti million tranzaksiyani tashkil etdi.
utt_3642 | O‘tgan yili talabalar kartalari - imtiyozli transport kartalari orasida eng ommabopi bo‘ldi. | o‘tgan yili talabalar kartalari - imtiyozli transport kartalari orasida eng ommabopi bo‘ldi.
utt_3643 | Ularning ulushi 68 foizni tashkil etdi. | ularning ulushi oltmish sakkiz foizni tashkil etdi.
utt_3644 | Ikkinchi va uchinchi o‘rinlarda - 18 foiz va 14 foiz bilan pensiya va o‘quvchi transport kartalari joy olishdi. | ikkinchi va uchinchi o‘rinlarda - oʻn sakkiz foiz va oʻn toʻrt foiz bilan pensiya va o‘quvchi transport kartalari joy olishdi.
utt_3645 | Vazirlar Mahkamasining “Huquqni muhofaza qiluvchi organlar, mahalliy ijro etuvchi hokimiyat organlari va fuqarolarning o‘zini o‘zi boshqarish organlari tizimida huquqiy bilimni oshirish bo‘yicha qo‘shimcha chora-tadbirlar to‘g‘risida”gi qarori qabul qilindi. | vazirlar mahkamasining “huquqni muhofaza qiluvchi organlar, mahalliy ijro etuvchi hokimiyat organlari va fuqarolarning o‘zini o‘zi boshqarish organlari tizimida huquqiy bilimni oshirish bo‘yicha qo‘shimcha chora-tadbirlar to‘g‘risida”gi qarori qabul qilindi.
utt_3646 | O‘zbekiston Respublikasi Ichki ishlar vazirligi, Milliy gvardiya va Adliya vazirligining 2019/2020 o‘quv yilidan boshlab O‘zbekiston Respublikasi Ichki ishlar vazirligi Akademiyasi, Milliy gvardiya Harbiy-texnik instituti va Toshkent davlat yuridik universitetining yuqori natijalar qayd etgan kursantlari (talabalari) o‘qishning so‘nggi bosqichini bevosita amaliyotda o‘tkazishi tartibini joriy etish to‘g‘risidagi takliflariga rozilik berildi. | o‘zbekiston respublikasi ichki ishlar vazirligi, milliy gvardiya va adliya vazirligining ikki ming oʻn toʻqqiz/ikki ming yigirma o‘quv yilidan boshlab o‘zbekiston respublikasi ichki ishlar vazirligi akademiyasi, milliy gvardiya harbiy-texnik instituti va toshkent davlat yuridik universitetining yuqori natijalar qayd etgan kursantlari (talabalari) o‘qishning so‘nggi bosqichini bevosita amaliyotda o‘tkazishi tartibini joriy etish to‘g‘risidagi takliflariga rozilik berildi.
utt_3647 | Huquqni muhofaza qiluvchi organlar oliy ta'lim muassasalarining yuqori natijalarni qayd etgan kursantlari (talabalari) o‘qishning so‘nggi bosqichini bevosita amaliyotda o‘tkazishi tartibi to‘g‘risidagi nizom tasdiqlandi. | huquqni muhofaza qiluvchi organlar oliy taʻlim muassasalarining yuqori natijalarni qayd etgan kursantlari (talabalari) o‘qishning so‘nggi bosqichini bevosita amaliyotda o‘tkazishi tartibi to‘g‘risidagi nizom tasdiqlandi.
utt_3648 | Belgilanishicha: oliy ta'lim muassasalarining yuqori natijalar qayd etgan kursantlari (talabalari) tegishliligi bo‘yicha amaliyot o‘tash uchun huquqni muhofaza qiluvchi organlar va boshqa davlat organlariga, jumladan, sud, prokuratura, ichki ishlar, milliy gvardiya, adliya organlari va advokatura tuzilmalariga tegishlicha O‘zbekiston Respublikasi Ichki ishlar vazirligi, Milliy gvardiya va Adliya vazirligi tomonidan biriktiriladi; bunda yuqori natijalar qayd etgan kursantlarni (talabalarni) amaliyot o‘tash uchun amaliyot o‘tkazuvchi organlarga biriktirish ularning mutaxassisligi (yo‘nalishi) bo‘yicha tashkil etiladi; oliy ta'lim muassasalarining yuqori natijalar qayd etgan kursantlari (talabalari) o‘qishining so‘nggi bosqichini bevosita amaliyotda o‘tkazish belgilangan o‘quv yuklamalari hajmi doirasida hal etiladi. | belgilanishicha: oliy taʻlim muassasalarining yuqori natijalar qayd etgan kursantlari (talabalari) tegishliligi bo‘yicha amaliyot o‘tash uchun huquqni muhofaza qiluvchi organlar va boshqa davlat organlariga, jumladan, sud, prokuratura, ichki ishlar, milliy gvardiya, adliya organlari va advokatura tuzilmalariga tegishlicha o‘zbekiston respublikasi ichki ishlar vazirligi, milliy gvardiya va adliya vazirligi tomonidan biriktiriladi; bunda yuqori natijalar qayd etgan kursantlarni (talabalarni) amaliyot o‘tash uchun amaliyot o‘tkazuvchi organlarga biriktirish ularning mutaxassisligi (yo‘nalishi) bo‘yicha tashkil etiladi; oliy taʻlim muassasalarining yuqori natijalar qayd etgan kursantlari (talabalari) o‘qishining so‘nggi bosqichini bevosita amaliyotda o‘tkazish belgilangan o‘quv yuklamalari hajmi doirasida hal etiladi.
utt_3649 | O‘zbekiston Respublikasi Bosh prokuraturasi Akademiyasida yuqori malakali amaliyot xodimlari, professor va o‘qituvchilar hamda ekspertlarni jalb qilgan holda ichki ishlar organlari tergovchilarining malakasini oshirish tizimi joriy etiladi. | o‘zbekiston respublikasi bosh prokuraturasi akademiyasida yuqori malakali amaliyot xodimlari, professor va o‘qituvchilar hamda ekspertlarni jalb qilgan holda ichki ishlar organlari tergovchilarining malakasini oshirish tizimi joriy etiladi.
utt_3650 | Quyidagilar ichki ishlar organlari tergovchilarining malakasini oshirish tizimini joriy etishning asosiy vazifalari etib belgilandi: dastlabki tergovni amalga oshirishda fuqarolarning huquqlari, erkinliklari va qonuniy manfaatlari ustunligiga, ularning sha'ni va qadr-qimmati hurmat qilinishiga so‘zsiz rioya qilish ko‘nikmasini mustahkamlash; tergovchilarning bilim va malakasini oshirishda innovatsion texnika va vositalardan foydalanish hamda yangi ish usullarini o‘rgatish; tergovchilarning o‘ta murakkab, shu jumladan, uyushgan jinoiy guruhlar va uyushmalar tomonidan sodir etilgan, axborot texnologiyalaridan foydalanib sodir etilgan jinoyatlarni fosh etish va tergov qilish bo‘yicha malakasini oshirish. | quyidagilar ichki ishlar organlari tergovchilarining malakasini oshirish tizimini joriy etishning asosiy vazifalari etib belgilandi: dastlabki tergovni amalga oshirishda fuqarolarning huquqlari, erkinliklari va qonuniy manfaatlari ustunligiga, ularning shaʻni va qadr-qimmati hurmat qilinishiga so‘zsiz rioya qilish ko‘nikmasini mustahkamlash; tergovchilarning bilim va malakasini oshirishda innovatsion texnika va vositalardan foydalanish hamda yangi ish usullarini o‘rgatish; tergovchilarning o‘ta murakkab, shu jumladan, uyushgan jinoiy guruhlar va uyushmalar tomonidan sodir etilgan, axborot texnologiyalaridan foydalanib sodir etilgan jinoyatlarni fosh etish va tergov qilish bo‘yicha malakasini oshirish.
utt_3651 | Tergovchilarning O‘zbekiston Respublikasi Bosh prokuraturasi Akademiyasida malaka oshirishi xizmatdan ajralmagan holda amalga oshiriladi hamda har yili ichki ishlar organlarining ehtiyojidan kelib chiqqan holda belgilanadi. | tergovchilarning o‘zbekiston respublikasi bosh prokuraturasi akademiyasida malaka oshirishi xizmatdan ajralmagan holda amalga oshiriladi hamda har yili ichki ishlar organlarining ehtiyojidan kelib chiqqan holda belgilanadi.
